Rk,player,age,team,pos,G,GS,QBrec,Cmp,Att,Cmp%,pass_yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional,Rk_rush,age_rush,team_rush,pos_rush,G_rush,GS_rush,Att_rush,rush_yds,TD_rush,1D_rush,Succ%_rush,Lng_rush,Y/A_rush,Y/G_rush,A/G,Fmb,Awards_rush,-9999,Rk_rec,age_rec,team_rec,pos_rec,G_rec,GS_rec,Tgt,Rec,rec_yds,Y/R,TD_rec,1D_rec,Succ%_rec,Lng_rec,R/G,Y/G_rec,Ctch%,Y/Tgt,Fmb_rec,Awards_rec,-9999_rec,Total_Yards,score,pct_rank,Season_Label
0.0,A.J. Brown,28.0,PHI,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,362.0,28.0,PHI,WR,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BrowAJ00,19.0,28.0,PHI,WR,15.0,15.0,121.0,78.0,1003.0,12.9,7.0,47.0,52.1,45.0,5.2,66.9,64.5,8.3,0.0,0,BrowAJ00,1003.0,1003.0,0.9439102564102564,Elite
0.0,AJ Barner,23.0,SEA,TE,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,174.0,23.0,SEA,TE,17.0,17.0,10.0,14.0,1.0,9.0,90.0,2.0,1.4,0.8,0.6,2.0,0,BarnAJ00,61.0,23.0,SEA,TE,17.0,17.0,68.0,52.0,519.0,10.0,6.0,26.0,63.2,61.0,3.1,30.5,76.5,7.6,2.0,0,BarnAJ00,533.0,519.0,0.8661971830985915,Good
0.0,AJ Dillon,27.0,PHI,RB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,160.0,27.0,PHI,RB,7.0,0.0,12.0,60.0,0.0,4.0,50.0,11.0,5.0,8.6,1.7,1.0,0,DillAJ00,375.0,27.0,PHI,RB,7.0,0.0,3.0,3.0,21.0,7.0,0.0,0.0,100.0,11.0,0.4,3.0,100.0,7.0,1.0,0,DillAJ00,81.0,81.0,0.3994413407821229,Underperformed
0.0,Aaron Jones,31.0,MIN,RB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,38.0,31.0,MIN,RB,12.0,12.0,132.0,548.0,2.0,28.0,50.0,31.0,4.2,45.7,11.0,2.0,0,JoneAa00,163.0,31.0,MIN,RB,12.0,12.0,41.0,28.0,199.0,7.1,1.0,9.0,41.5,27.0,2.3,16.6,68.3,4.9,2.0,0,JoneAa00,747.0,747.0,0.7877094972067039,Good
15.0,Aaron Rodgers,42.0,PIT,QB,16.0,16.0,10-6-0,327.0,498.0,65.7,3322.0,24.0,4.8,7.0,1.4,143.0,42.9,80.0,6.7,7.0,10.2,207.6,94.8,44.3,29.0,180.0,5.5,5.96,6.28,2.0,3.0,0,RodgAa00,124.0,42.0,PIT,QB,16.0,16.0,21.0,61.0,1.0,4.0,28.6,20.0,2.9,3.8,1.3,4.0,0,RodgAa00,464.0,42.0,PIT,QB,16.0,16.0,1.0,1.0,-9.0,-9.0,0.0,0.0,0.0,-9.0,0.1,-0.6,100.0,-9.0,4.0,0,RodgAa00,3374.0,3322.0,0.8691588785046729,Good
0.0,Adam Prentice,28.0,DEN,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,179.0,28.0,DEN,FB,17.0,3.0,10.0,44.0,0.0,7.0,70.0,18.0,4.4,2.6,0.6,0.0,0,PrenAd00,333.0,28.0,DEN,FB,17.0,3.0,8.0,6.0,53.0,8.8,0.0,3.0,50.0,14.0,0.4,3.1,75.0,6.6,0.0,0,PrenAd00,97.0,53.0,0.9,Elite
0.0,Adam Thielen,35.0,2TM,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,2TM,WR,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,2TM,WR,16.0,7.0,35.0,19.0,186.0,9.8,0.0,10.0,45.7,28.0,1.2,11.6,54.3,5.3,0.0,0,ThieAd00,186.0,186.0,0.5,Good
0.0,Adam Thielen,35.0,2TM,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,2TM,WR,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,MIN,WR,11.0,4.0,18.0,8.0,69.0,8.6,0.0,6.0,44.4,19.0,0.7,6.3,44.4,3.8,0.0,0,ThieAd00,69.0,69.0,0.27564102564102566,Underperformed
0.0,Adam Thielen,35.0,2TM,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,2TM,WR,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,PIT,WR,5.0,3.0,17.0,11.0,117.0,10.6,0.0,4.0,47.1,28.0,2.2,23.4,64.7,6.9,0.0,0,ThieAd00,117.0,117.0,0.40705128205128205,Underperformed
0.0,Adam Thielen,35.0,MIN,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,2TM,WR,16.0,7.0,35.0,19.0,186.0,9.8,0.0,10.0,45.7,28.0,1.2,11.6,54.3,5.3,0.0,0,ThieAd00,186.0,186.0,0.5,Good
