Rk_x,Player,Age_x,Team_x,Pos_x,G_x,GS_x,QBrec,Cmp,Att_x,Cmp%,Yds_x,TD_x,TD%,Int,Int%,1D_x,Succ%_x,Lng_x,Y/A_x,AY/A,Y/C,Y/G_x,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards_x,Player-additional,Rk_y,Age_y,Team_y,Pos_y,G_y,GS_y,Att_y,Yds_y,TD_y,1D_y,Succ%_y,Lng_y,Y/A_y,Y/G_y,A/G,Fmb_x,Awards_y,-9999_x,Rk,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb_y,Awards,-9999_y,Total_Yards,Season_Label
0.0,A.J. Brown,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,362.0,28.0,PHI,WR,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BrowAJ00,19.0,28.0,PHI,WR,15.0,15.0,121.0,78.0,1003.0,12.9,7.0,47.0,52.1,45.0,5.2,66.9,64.5,8.3,0.0,0,BrowAJ00,0,Elite
0.0,AJ Barner,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,174.0,23.0,SEA,TE,17.0,17.0,10.0,14.0,1.0,9.0,90.0,2.0,1.4,0.8,0.6,2.0,0,BarnAJ00,61.0,23.0,SEA,TE,17.0,17.0,68.0,52.0,519.0,10.0,6.0,26.0,63.2,61.0,3.1,30.5,76.5,7.6,2.0,0,BarnAJ00,0,Elite
0.0,AJ Dillon,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,160.0,27.0,PHI,RB,7.0,0.0,12.0,60.0,0.0,4.0,50.0,11.0,5.0,8.6,1.7,1.0,0,DillAJ00,375.0,27.0,PHI,RB,7.0,0.0,3.0,3.0,21.0,7.0,0.0,0.0,100.0,11.0,0.4,3.0,100.0,7.0,1.0,0,DillAJ00,0,Elite
0.0,Aaron Jones,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,38.0,31.0,MIN,RB,12.0,12.0,132.0,548.0,2.0,28.0,50.0,31.0,4.2,45.7,11.0,2.0,0,JoneAa00,163.0,31.0,MIN,RB,12.0,12.0,41.0,28.0,199.0,7.1,1.0,9.0,41.5,27.0,2.3,16.6,68.3,4.9,2.0,0,JoneAa00,0,Elite
15.0,Aaron Rodgers,42.0,PIT,QB,16.0,16.0,10-6-0,327.0,498.0,65.7,3322.0,24.0,4.8,7.0,1.4,143.0,42.9,80.0,6.7,7.0,10.2,207.6,94.8,44.3,29.0,180.0,5.5,5.96,6.28,2.0,3.0,0,RodgAa00,124.0,42.0,PIT,QB,16.0,16.0,21.0,61.0,1.0,4.0,28.6,20.0,2.9,3.8,1.3,4.0,0,RodgAa00,464.0,42.0,PIT,QB,16.0,16.0,1.0,1.0,-9.0,-9.0,0.0,0.0,0.0,-9.0,0.1,-0.6,100.0,-9.0,4.0,0,RodgAa00,0,Elite
0.0,Adam Prentice,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,179.0,28.0,DEN,FB,17.0,3.0,10.0,44.0,0.0,7.0,70.0,18.0,4.4,2.6,0.6,0.0,0,PrenAd00,333.0,28.0,DEN,FB,17.0,3.0,8.0,6.0,53.0,8.8,0.0,3.0,50.0,14.0,0.4,3.1,75.0,6.6,0.0,0,PrenAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,2TM,WR,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,2TM,WR,16.0,7.0,35.0,19.0,186.0,9.8,0.0,10.0,45.7,28.0,1.2,11.6,54.3,5.3,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,2TM,WR,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,MIN,WR,11.0,4.0,18.0,8.0,69.0,8.6,0.0,6.0,44.4,19.0,0.7,6.3,44.4,3.8,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,2TM,WR,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,PIT,WR,5.0,3.0,17.0,11.0,117.0,10.6,0.0,4.0,47.1,28.0,2.2,23.4,64.7,6.9,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,2TM,WR,16.0,7.0,35.0,19.0,186.0,9.8,0.0,10.0,45.7,28.0,1.2,11.6,54.3,5.3,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,MIN,WR,11.0,4.0,18.0,8.0,69.0,8.6,0.0,6.0,44.4,19.0,0.7,6.3,44.4,3.8,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,PIT,WR,5.0,3.0,17.0,11.0,117.0,10.6,0.0,4.0,47.1,28.0,2.2,23.4,64.7,6.9,0.0,0,ThieAd00,0,Elite
